symbol,timestamp,open,high,low,close,volume,date
XXBTZUSD,1537315200,6330.7002,6574.0000,6102.6001,6392.1001,4789.5385,19/09/2018
XXBTZUSD,1537401600,6390.6001,6547.2002,6339.2002,6491.2002,3697.2948,20/09/2018
XXBTZUSD,1537488000,6491.2002,6819.5000,6480.0000,6755.2998,5723.7801,21/09/2018
XXBTZUSD,1537574400,6755.0000,6836.3999,6625.1001,6717.0000,3104.8516,22/09/2018
XXBTZUSD,1537660800,6705.2998,6768.0000,6660.1001,6700.0000,1383.1631,23/09/2018
XXBTZUSD,1537747200,6700.2002,6719.8999,6545.0000,6579.2002,3892.9880,24/09/2018
XXBTZUSD,1537833600,6579.2002,6580.0000,6318.5000,6435.0000,5070.2774,25/09/2018
XXBTZUSD,1537920000,6434.8999,6540.7002,6372.0000,6453.5000,3269.5991,26/09/2018
XXBTZUSD,1538006400,6452.0000,6730.0000,6430.8999,6683.7998,4768.6166,27/09/2018
XXBTZUSD,1538092800,6683.7002,6796.2002,6529.3999,6622.2998,4522.2729,28/09/2018
XXBTZUSD,1538179200,6622.2002,6622.2002,6450.1001,6582.7002,2152.3399,29/09/2018
XXBTZUSD,1538265600,6582.2002,6641.0000,6518.0000,6604.1001,1172.9710,30/09/2018
XXBTZUSD,1538352000,6603.7998,6633.2998,6490.2002,6572.6001,1863.8501,01/10/2018
XXBTZUSD,1538438400,6574.5000,6597.0000,6436.2002,6500.0000,3054.4014,02/10/2018
XXBTZUSD,1538524800,6497.7002,6521.1001,6397.6001,6463.8999,5143.6827,03/10/2018
XXBTZUSD,1538611200,6463.7998,6598.8999,6461.0000,6547.4000,2016.9055,04/10/2018
XXBTZUSD,1538697600,6557.0000,6666.6001,6494.1001,6580.1001,2486.3998,05/10/2018
XXBTZUSD,1538784000,6582.7002,6599.0000,6532.0000,6550.0000,856.9989,06/10/2018
XXBTZUSD,1538870400,6549.8999,6584.2002,6488.2998,6570.5000,1022.5959,07/10/2018
XXBTZUSD,1538956800,6567.8999,6688.2998,6545.0000,6610.0000,2498.5091,08/10/2018
XXBTZUSD,1539043200,6607.3999,6618.5000,6555.6001,6585.1001,1360.2987,09/10/2018
XXBTZUSD,1539129600,6585.6001,6589.1001,6441.7998,6530.5000,2485.6868,10/10/2018
XXBTZUSD,1539216000,6530.1001,6530.1001,6091.2002,6150.1001,7093.7414,11/10/2018
XXBTZUSD,1539302400,6151.8999,6238.5000,6110.0000,6192.2002,1674.4138,12/10/2018
XXBTZUSD,1539388800,6192.2002,6219.1001,6171.7002,6197.8999,922.9147,13/10/2018
XXBTZUSD,1539475200,6197.7998,6289.8999,6150.0000,6181.7998,1237.4738,14/10/2018
XXBTZUSD,1539561600,6181.8999,6820.0000,6151.0000,6438.5000,11354.6185,15/10/2018
XXBTZUSD,1539648000,6441.2998,6490.0000,6391.5000,6460.3999,3309.3249,16/10/2018
XXBTZUSD,1539734400,6460.2998,6469.7998,6411.8999,6442.5000,1684.0020,17/10/2018
XXBTZUSD,1539820800,6442.2998,6487.8999,6344.6001,6395.3999,1779.3414,18/10/2018
XXBTZUSD,1539907200,6395.2002,6406.7998,6352.5000,6384.2002,1146.6443,19/10/2018
XXBTZUSD,1539993600,6383.3999,6429.7002,6360.1001,6412.2998,778.6663,20/10/2018
XXBTZUSD,1540080000,6412.0000,6457.7998,6399.2002,6410.0000,942.9293,21/10/2018
XXBTZUSD,1540166400,6411.1001,6428.7002,6367.7998,6409.6001,1288.6752,22/10/2018
XXBTZUSD,1540252800,6408.7002,6418.0000,6356.2002,6394.3999,2065.7859,23/10/2018
XXBTZUSD,1540339200,6394.8999,6466.0000,6392.7002,6413.8999,1503.7870,24/10/2018
XXBTZUSD,1540425600,6414.0000,6419.7002,6356.0000,6393.0000,1482.4122,25/10/2018
XXBTZUSD,1540512000,6393.1001,6450.0000,6378.8999,6409.2998,1463.4350,26/10/2018
XXBTZUSD,1540598400,6409.2002,6422.2998,6385.0000,6410.3999,646.4320,27/10/2018
XXBTZUSD,1540684800,6410.2998,6433.6001,6388.0000,6408.1001,773.2915,28/10/2018
XXBTZUSD,1540771200,6408.1001,6423.0000,6201.0000,6266.2998,3557.3097,29/10/2018
XXBTZUSD,1540857600,6266.2002,6299.3999,6242.0000,6275.0000,4932.9558,30/10/2018
XXBTZUSD,1540944000,6275.1001,6377.0000,6205.0000,6307.5000,3034.3555,31/10/2018
XXBTZUSD,1541030400,6307.5000,6367.7002,6290.6001,6339.8999,1768.9865,01/11/2018
XXBTZUSD,1541116800,6341.7002,6378.2998,6318.2002,6346.2002,1764.9876,02/11/2018
XXBTZUSD,1541203200,6346.2002,6347.6001,6300.6001,6331.3999,682.8438,03/11/2018
XXBTZUSD,1541289600,6332.2998,6471.6001,6316.2998,6419.8999,1748.2959,04/11/2018
XXBTZUSD,1541376000,6419.8999,6443.2998,6370.2002,6405.8999,1246.8646,05/11/2018
XXBTZUSD,1541462400,6406.0000,6455.2002,6390.2002,6451.2998,2068.6169,06/11/2018
XXBTZUSD,1541548800,6450.2998,6552.8999,6448.6001,6503.2998,2678.4419,07/11/2018
XXBTZUSD,1541635200,6503.2002,6515.7002,6380.6001,6408.7998,2222.6905,08/11/2018
XXBTZUSD,1541721600,6408.8999,6419.7002,6310.0000,6335.3999,2192.6104,09/11/2018
XXBTZUSD,1541808000,6334.7002,6375.0000,6331.6001,6349.0000,699.4260,10/11/2018
XXBTZUSD,1541894400,6348.8999,6364.5000,6275.1001,6358.2002,757.2660,11/11/2018
